ms,seq,tick delta
26054,18,13
26104,18,12
26154,18,12
26204,19,12
26254,19,12
26304,19,12
26354,19,12
26404,19,11
26453,20,12
26503,20,11
26553,20,11
26603,20,12
26653,20,11
26703,21,11
26753,21,10
26803,21,11
26853,21,11
26903,21,10
26953,22,11
27003,22,10
27053,22,10
27103,22,11
27153,22,10
27203,23,10
27253,23,9
27303,23,10
27353,23,10
27403,23,9
27452,24,10
27502,24,9
27552,24,10
27602,24,9
27652,24,9
27702,25,9
27752,25,8
27802,25,9
27852,25,9
27902,25,8
27952,26,9
28002,26,8
28052,26,9
28102,26,8
28152,26,8
28201,27,8
28251,27,8
28301,27,8
28351,27,7
28401,27,8
28451,28,8
28501,28,7
28551,28,7
28601,28,8
28651,28,7
28701,29,7
28751,29,7
28801,29,7
28851,29,7
28901,29,7
28950,30,6
29000,30,7
29050,30,6
29100,30,7
29150,30,6
29200,31,6
29250,31,6
29300,31,6
29350,31,6
29400,31,6
29450,32,6
29500,32,6
29550,32,5
29600,32,6
29650,32,5
29699,33,6
29749,33,5
29799,33,5
29849,33,6
29899,33,5
29949,34,5
29999,34,5
30049,34,4
30099,34,5
30149,34,5
30199,35,4
30249,35,5
30299,35,4
30349,35,5
30399,35,4
30449,36,4
30499,36,4
30549,36,4
30599,36,4
30649,36,4
30698,37,4
30748,37,4
30798,37,4
30848,37,3
30898,37,4
30948,38,3
30998,38,3
31048,38,4
31098,38,3
31148,38,3
31197,39,3
31247,39,3
31297,39,3
31347,39,3
31397,39,3
31447,40,3
31497,40,2
31547,40,3
31597,40,2
31647,40,3
31697,41,2
31747,41,3
31797,41,2
31847,41,2
31897,41,2
31947,42,2
31997,42,2
32047,42,2
32097,42,2
32147,42,2
32196,43,2
32246,43,1
32296,43,2
32346,43,1
32396,43,2
32446,44,1
32496,44,2
32546,44,1
32596,44,1
32646,44,1
32696,45,2
32746,45,1
32796,45,1
32846,45,1
32896,45,0
